id,author,bookName
37478,Heinrich Heine,The Prose Writings of Heinrich Heine
37479,Oliver Onions,The Debit Account
3748,Jules Verne,A Journey to the Interior of the Earth
37480,Charles King,Campaigning with Crook and Stories of Army Life
37481,Baroness Emmuska Orczy,The Tangled Skein
37482,Joseph C. Lincoln,The Postmaster
37485,Walter Prichard Eaton,Boy Scouts in Glacier Park
37486,Quincy Allen,The Outdoor Chums on the Lake
3749,David Widger,Quotations from Rousseau's Confessions
37490,Herman Landon,The Gray Phantom's Return
37492,Cyrus Townsend Brady,The Chalice Of Courage
37493,Alan Douglas,Fast Nine
37494,Walter R. Cassels,The Gospel According To Peter
37497,Louis Couperus,The Tour
375,Ambrose Bierce,An Occurrence at Owl Creek Bridge
37505,Daniel Defoe,"A Short Narrative of the Life and Actions of His Grace John, D. of Marlborogh"
37509,Stanley Waterloo,The Cassowary
37513,C. Lloyd Morgan,Spencer's Philosophy of Science
37515,Anne Warner,In a Mysterious Way
3752,Richard Hakluyt,Voyager's Tales
37520,Robert Ferguson,Surnames as a Science
37527,J. B. Lightfoot,Sermons
37528,Robert W. Chambers,Quick Action
3753,Walter de la Mare,"Peacock Pie, A Book of Rhymes"
37532,Elizabeth W. Grierson,The Scottish Fairy Book
37539,Henry Ford,The International Jew
3754,J. H. Fabre,The Wonders Of Instinct
37549,Mrs. Wilson Woodrow,The Beauty
3755,Thomas Paine,Common Sense
37551,Will N. Harben,Ann Boyd
37554,Laura Lee Hope,The Bobbsey Twins at Cedar Camp
37557,Arthur Stringer,Open Water
37559,Colin Munro,Fern Vale 
3756,P. G. Wodehouse,Indiscretions of Archie
37561,Edward Streeter,"""That's me all over, Mable"""
37563,George Cary Eggleston,A Man of Honor
37566,John M. Legler,"Natural History of the Ornate Box Turtle, Terrapene ornata ornata Agassiz"
37570,Lady Anne Hamilton,"Secret History of the Court of England, from the Accession of George the Third to the Death of George the Fourth, Volume I "
37571,Lady Anne Hamilton,"Secret History of the Court of England, from the Accession of George the Third to the Death of George the Fourth, Volume II "
37572,M. C. Pease,The Way of Decision
37573,Eliza Leslie,Pencil Sketches
37578,Louis Couperus,The Later Life
37581,Charles Dickens,The Cricket on the Hearth
37582,Harold Bindloss,The Coast of Adventure
37584,Oliver Onions,A Crooked Mile
37588,Gordon Stables,The Island of Gold
37589,Arabella B. Buckley,Through Magic Glasses and Other Lectures
37591,Cyril Arthur Edward Ranger Gull,Chance in Chains
37597,F. Anstey,Voces Populi
37598,Ernest W. Hornung,Denis Dent
37599,Charles de Coster,The Legend of the Glorious Adventures of Tyl Ulenspiegel in the land of Flanders and elsewhere
376,Daniel Defoe,A Journal of the Plague Year
3760,Benjamin Disraeli,"Sybil, or the Two Nations"
37600,Percy F. Westerman,The Fight for Constantinople
37606,Catharine Shaw,Left to Ourselves
37607,W. Robinson,Garden Design and Architects' Gardens
37613,Robert Grant,Search-Light Letters
37614,William Beebe,Jungle Peace
37615,Willard Glazier,Ocean to Ocean on Horseback
37618,H. Noel Williams,Queens of the French Stage
3762,"the American Novelist and Historian, Winston Churchill","Coniston, Book 1"
37621,J? Kraszewski,The Jew
37623,J? Kraszewski,The Countess Cosel
37624,J? Kraszewski,Count Br
37625,Nathaniel Hawthorne,"Our Old Home, Vol. 2"
37627,Henry James,Lady Barbarina
3763,"the American Novelist and Historian, Winston Churchill","Coniston, Book 2"
37631,John Gibson Lockhart,"Memoirs of the Life of Sir Walter Scott, Volume 6"
3764,"the American Novelist and Historian, Winston Churchill","Coniston, Book 3"
37640,John Brown,Health
37645,John Dryden,Dryden's Works Vol. 3 
37647,James Otis,The Adventures of a Country Boy at a Country Fair
37649,Eric Mackay,Love Letters of a Violinist and Other Poems
3765,"the American Novelist and Historian, Winston Churchill","Coniston, Book 4"
37651,W. H. Mallock,The New Paul and Virginia
37652,Percy F. Westerman,The Nameless Island
37653,Poul William Anderson,"Sentiment, Inc."
37656,Theodore Roosevelt,Thomas Hart Benton
3766,"the American Novelist and Historian, Winston Churchill","Coniston, Books 1-4"
37660,Robert C. Benchley,Of All Things
37664,Cosmo Hamilton,The Sins of the Children
37665,George Borrow,Wild Wales
37668,Charles de Coster,Flemish Legends
3767,Anthony Trollope,The Man who kept his Money in a Box
37672,Charles King,From School to Battle-field
37673,Allen Chapman,Ned Wilding's Disappearance
37676,Willis Fletcher Johnson,"The History of Cuba, vol. 2"
3768,Edna St. Vincent Millay,The Lamp and the Bell
37680,Myrtle Reed,The Myrtle Reed Cook Book
37682,Joseph Priestley,Heads of Lectures on a Course of Experimental Philosophy: Particularly Including Chemistry
37685,F. Anstey,The Brass Bottle
37687,Gordon Stables,"The Cruise of the Land-Yacht ""Wanderer"""
37688,Charles King,A Trooper Galahad
37691,F. Anstey,The Travelling Companions
37692,William Wiehe Collins,Cathedral Cities of Italy
